対象パス	ユースケース名	説明
/	getFeaturedRegions	注目地域一覧を取得する
/	searchRegionsByKeyword	キーワードで地域を検索する
/	searchRegionsByLocation	位置情報で地域を検索する
/regions	getPublicRegions	公開地域一覧を取得する（ページネーション付き）
/regions	searchRegionsByKeyword	キーワードで地域を検索する
/regions	searchRegionsByLocation	位置情報で地域を検索する
/regions	filterRegions	地域をフィルタリングする
/regions/[id]	getRegionById	地域詳細情報を取得する
/regions/[id]	getPlacesByRegion	地域内の場所一覧を取得する
/regions/[id]	getPlaceLocationsForMap	地図表示用の場所位置情報を取得する
/regions/[id]	searchPlacesInRegion	地域内の場所を検索する
/places/[id]	getPlaceById	場所詳細情報を取得する
/places/[id]	getPlacePhotos	場所の写真一覧を取得する
/places/[id]	getCheckinsForPlace	場所のチェックイン一覧を取得する
/places/[id]	getPlaceBusinessHours	営業時間情報を取得する
/auth/*	authenticateUser	ユーザーを認証する
/auth/*	createUserSession	ユーザーセッションを作成する
/auth/*	validateLoginCredentials	ログイン認証情報を検証する
/auth/*	registerUser	ユーザーを登録する
/auth/*	sendVerificationEmail	認証メールを送信する
/auth/*	validateUserRegistrationData	登録データを検証する
/auth/*	checkEmailAvailability	メールアドレスの利用可能性を確認する
/auth/*	requestPasswordReset	パスワードリセットを要求する
/auth/*	sendPasswordResetEmail	パスワードリセットメールを送信する
/auth/*	validateResetToken	リセットトークンを検証する
/auth/*	resetUserPassword	ユーザーパスワードをリセットする
/dashboard	getUserPinnedRegions	ユーザーのピン留め地域を取得する
/dashboard	getUserRecentCheckins	ユーザーの最近のチェックインを取得する
/dashboard	getUserFavoritesSummary	ユーザーのお気に入りサマリーを取得する
/dashboard	getRecommendedRegions	おすすめ地域を取得する
/favorites	getUserFavoriteRegions	ユーザーのお気に入り地域一覧を取得する
/favorites	getUserFavoritePlaces	ユーザーのお気に入り場所一覧を取得する
/favorites	removeFavoriteRegion	お気に入り地域を削除する
/favorites	removeFavoritePlace	お気に入り場所を削除する
/pinned	getUserPinnedRegions	ユーザーのピン留め地域一覧を取得する
/pinned	reorderPinnedRegions	ピン留め地域の順序を変更する
/pinned	unpinRegion	地域のピン留めを解除する
/pinned	updatePinDisplayOrder	ピン表示順序を更新する
/checkins	getUserCheckins	ユーザーのチェックイン履歴を取得する
/checkins	updateCheckin	チェックイン内容を更新する
/checkins	deleteCheckin	チェックインを削除する
/checkins	getCheckinPhotos	チェックインの写真を取得する
/settings	getUserProfile	ユーザープロフィールを取得する
/settings	updateUserProfile	ユーザープロフィールを更新する
/settings	updateNotificationSettings	通知設定を更新する
/settings	updatePrivacySettings	プライバシー設定を更新する
/settings	changeUserPassword	ユーザーパスワードを変更する
/editor	getEditorStats	編集者の統計情報を取得する
/editor	getEditorRecentActivities	編集者の最近の活動を取得する
/editor	getUserSubscriptionStatus	ユーザーのサブスクリプション状況を取得する
/editor	getEditorOwnedRegions	編集者が所有する地域一覧を取得する
/editor/regions	getEditorRegions	編集者が作成した地域一覧を取得する
/editor/regions	deleteRegion	地域を削除する
/editor/regions	updateRegionStatus	地域の公開状態を更新する
/editor/regions	getRegionStatistics	地域の統計情報を取得する
/editor/regions/*	createRegion	地域を作成する
/editor/regions/*	updateRegion	地域情報を更新する
/editor/regions/*	validateRegionData	地域データを検証する
/editor/regions/*	uploadRegionImages	地域画像をアップロードする
/editor/regions/*	getRegionById	編集対象の地域情報を取得する
/editor/places	getEditorPlaces	編集者が管理する場所一覧を取得する
/editor/places	deletePlace	場所を削除する
/editor/places	getPlacePermissions	場所の編集権限を取得する
/editor/places	updatePlaceStatus	場所の公開状態を更新する
/editor/places/*	createPlace	場所を作成する
/editor/places/*	updatePlace	場所情報を更新する
/editor/places/*	validatePlaceData	場所データを検証する
/editor/places/*	getEditorRegions	編集者の地域一覧を取得する
/editor/places/*	uploadPlaceImages	場所画像をアップロードする
/editor/permissions	inviteEditor	編集者を招待する
/editor/permissions	sendEditorInvitation	編集者招待メールを送信する
/editor/permissions	getPlacePermissions	場所の権限一覧を取得する
/editor/permissions	updateEditorPermissions	編集者権限を更新する
/editor/permissions	removeEditorPermission	編集者権限を削除する
/editor/permissions	getSharedPlaces	共有中の場所一覧を取得する
/editor/subscription	getUserSubscription	ユーザーのサブスクリプション情報を取得する
/editor/subscription	updateSubscriptionPlan	サブスクリプションプランを変更する
/editor/subscription	updatePaymentMethod	支払い方法を更新する
/editor/subscription	getBillingHistory	請求履歴を取得する
/editor/subscription	getUserUsageMetrics	使用量統計を取得する
/editor/subscription	cancelSubscription	サブスクリプションをキャンセルする
/admin	getSystemStatistics	システム統計情報を取得する
/admin	getUserGrowthData	ユーザー増加データを取得する
/admin	getContentStatistics	コンテンツ統計を取得する
/admin	getRecentSystemActivity	最近のシステム活動を取得する
/admin	getActiveUserCount	アクティブユーザー数を取得する
/admin/users	getAllUsers	全ユーザー一覧を取得する
/admin/users	searchUsers	ユーザーを検索する
/admin/users	banUser	ユーザーを停止する
/admin/users	deleteUser	ユーザーを削除する
/admin/users	getUserDetails	ユーザー詳細情報を取得する
/admin/users	filterUsers	ユーザーをフィルタリングする
/admin/content	getReportedContent	通報されたコンテンツ一覧を取得する
/admin/content	moderateContent	コンテンツを審査する
/admin/content	deleteContent	コンテンツを削除する
/admin/content	bulkDeleteContent	コンテンツを一括削除する
/admin/content	updateContentStatus	コンテンツの状態を更新する
/admin/content	getContentReports	コンテンツの通報詳細を取得する
/admin/settings	getSystemSettings	システム設定を取得する
/admin/settings	updateSystemSettings	システム設定を更新する
/admin/settings	updateTermsAndPolicies	利用規約・ポリシーを更新する
/admin/settings	setMaintenanceMode	メンテナンスモードを設定する
/admin/settings	updateFeatureFlags	機能フラグを更新する
/admin/settings	backupSystemData	システムデータをバックアップする
/admin/reports	generateUsageReport	利用状況レポートを生成する
/admin/reports	exportReportData	レポートデータをエクスポートする
/admin/reports	getAnalyticsData	分析データを取得する
/admin/reports	getReportHistory	レポート履歴を取得する
/admin/reports	scheduleReport	定期レポートをスケジュールする
/admin/reports	downloadReport	レポートをダウンロードする
/places/[id]/checkin	checkinToPlace	場所にチェックインする
/places/[id]/checkin	uploadCheckinPhotos	チェックイン写真をアップロードする
/places/[id]/checkin	validateUserLocation	ユーザーの位置情報を検証する
/places/[id]/checkin	createCheckinComment	チェックインコメントを作成する
/places/[id]/checkin	getPlaceForCheckin	チェックイン対象の場所情報を取得する
*	reportContent	コンテンツを通報する
*	validateReportData	通報データを検証する
*	sendReportNotification	通報通知を送信する
*	getReportReasons	通報理由一覧を取得する